year,artist,dates,rank,times_in_top10,rank_overall
2017,"Dua Lipa, Angèle",2017-01-01;2017-01-08;2017-01-15;2017-01-22;2017-01-29;2017-02-05;2017-02-12;2017-02-19;2017-02-26;2017-03-05;2017-03-12;2017-03-19;2017-03-26;2017-04-02;2017-04-09;2017-04-16;2017-04-23;2017-04-30;2017-05-07;2017-05-14;2017-05-21;2017-05-28;2017-06-04;2017-06-11;2017-06-18;2017-06-25;2017-07-02;2017-07-09;2017-07-16;2017-07-23;2017-07-30;2017-08-06;2017-08-13;2017-08-20;2017-08-27;2017-09-03;2017-09-10;2017-09-17;2017-09-24;2017-10-01;2017-10-08;2017-10-15;2017-10-22;2017-10-29;2017-11-05;2017-11-12;2017-11-19;2017-11-26;2017-12-03;2017-12-10;2017-12-17;2017-12-24;2017-12-31,None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None,0,11
2017,pyrokinesis,2017-01-01;2017-01-08;2017-01-15;2017-01-22;2017-01-29;2017-02-05;2017-02-12;2017-02-19;2017-02-26;2017-03-05;2017-03-12;2017-03-19;2017-03-26;2017-04-02;2017-04-09;2017-04-16;2017-04-23;2017-04-30;2017-05-07;2017-05-14;2017-05-21;2017-05-28;2017-06-04;2017-06-11;2017-06-18;2017-06-25;2017-07-02;2017-07-09;2017-07-16;2017-07-23;2017-07-30;2017-08-06;2017-08-13;2017-08-20;2017-08-27;2017-09-03;2017-09-10;2017-09-17;2017-09-24;2017-10-01;2017-10-08;2017-10-15;2017-10-22;2017-10-29;2017-11-05;2017-11-12;2017-11-19;2017-11-26;2017-12-03;2017-12-10;2017-12-17;2017-12-24;2017-12-31,None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None,0,11
2017,Joji,2017-01-01;2017-01-08;2017-01-15;2017-01-22;2017-01-29;2017-02-05;2017-02-12;2017-02-19;2017-02-26;2017-03-05;2017-03-12;2017-03-19;2017-03-26;2017-04-02;2017-04-09;2017-04-16;2017-04-23;2017-04-30;2017-05-07;2017-05-14;2017-05-21;2017-05-28;2017-06-04;2017-06-11;2017-06-18;2017-06-25;2017-07-02;2017-07-09;2017-07-16;2017-07-23;2017-07-30;2017-08-06;2017-08-13;2017-08-20;2017-08-27;2017-09-03;2017-09-10;2017-09-17;2017-09-24;2017-10-01;2017-10-08;2017-10-15;2017-10-22;2017-10-29;2017-11-05;2017-11-12;2017-11-19;2017-11-26;2017-12-03;2017-12-10;2017-12-17;2017-12-24;2017-12-31,None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None,0,11
2017,"JONY, HammAli",2017-01-01;2017-01-08;2017-01-15;2017-01-22;2017-01-29;2017-02-05;2017-02-12;2017-02-19;2017-02-26;2017-03-05;2017-03-12;2017-03-19;2017-03-26;2017-04-02;2017-04-09;2017-04-16;2017-04-23;2017-04-30;2017-05-07;2017-05-14;2017-05-21;2017-05-28;2017-06-04;2017-06-11;2017-06-18;2017-06-25;2017-07-02;2017-07-09;2017-07-16;2017-07-23;2017-07-30;2017-08-06;2017-08-13;2017-08-20;2017-08-27;2017-09-03;2017-09-10;2017-09-17;2017-09-24;2017-10-01;2017-10-08;2017-10-15;2017-10-22;2017-10-29;2017-11-05;2017-11-12;2017-11-19;2017-11-26;2017-12-03;2017-12-10;2017-12-17;2017-12-24;2017-12-31,None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None,0,11
2017,"OG Buda, SALUKI, 104",2017-01-01;2017-01-08;2017-01-15;2017-01-22;2017-01-29;2017-02-05;2017-02-12;2017-02-19;2017-02-26;2017-03-05;2017-03-12;2017-03-19;2017-03-26;2017-04-02;2017-04-09;2017-04-16;2017-04-23;2017-04-30;2017-05-07;2017-05-14;2017-05-21;2017-05-28;2017-06-04;2017-06-11;2017-06-18;2017-06-25;2017-07-02;2017-07-09;2017-07-16;2017-07-23;2017-07-30;2017-08-06;2017-08-13;2017-08-20;2017-08-27;2017-09-03;2017-09-10;2017-09-17;2017-09-24;2017-10-01;2017-10-08;2017-10-15;2017-10-22;2017-10-29;2017-11-05;2017-11-12;2017-11-19;2017-11-26;2017-12-03;2017-12-10;2017-12-17;2017-12-24;2017-12-31,None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None,0,11
2017,"Jerry Heil, Анна Тринчер",2017-01-01;2017-01-08;2017-01-15;2017-01-22;2017-01-29;2017-02-05;2017-02-12;2017-02-19;2017-02-26;2017-03-05;2017-03-12;2017-03-19;2017-03-26;2017-04-02;2017-04-09;2017-04-16;2017-04-23;2017-04-30;2017-05-07;2017-05-14;2017-05-21;2017-05-28;2017-06-04;2017-06-11;2017-06-18;2017-06-25;2017-07-02;2017-07-09;2017-07-16;2017-07-23;2017-07-30;2017-08-06;2017-08-13;2017-08-20;2017-08-27;2017-09-03;2017-09-10;2017-09-17;2017-09-24;2017-10-01;2017-10-08;2017-10-15;2017-10-22;2017-10-29;2017-11-05;2017-11-12;2017-11-19;2017-11-26;2017-12-03;2017-12-10;2017-12-17;2017-12-24;2017-12-31,None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None,0,11
2017,METAN,2017-01-01;2017-01-08;2017-01-15;2017-01-22;2017-01-29;2017-02-05;2017-02-12;2017-02-19;2017-02-26;2017-03-05;2017-03-12;2017-03-19;2017-03-26;2017-04-02;2017-04-09;2017-04-16;2017-04-23;2017-04-30;2017-05-07;2017-05-14;2017-05-21;2017-05-28;2017-06-04;2017-06-11;2017-06-18;2017-06-25;2017-07-02;2017-07-09;2017-07-16;2017-07-23;2017-07-30;2017-08-06;2017-08-13;2017-08-20;2017-08-27;2017-09-03;2017-09-10;2017-09-17;2017-09-24;2017-10-01;2017-10-08;2017-10-15;2017-10-22;2017-10-29;2017-11-05;2017-11-12;2017-11-19;2017-11-26;2017-12-03;2017-12-10;2017-12-17;2017-12-24;2017-12-31,None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None,0,11
2017,"Okean Elzy, КALUSH",2017-01-01;2017-01-08;2017-01-15;2017-01-22;2017-01-29;2017-02-05;2017-02-12;2017-02-19;2017-02-26;2017-03-05;2017-03-12;2017-03-19;2017-03-26;2017-04-02;2017-04-09;2017-04-16;2017-04-23;2017-04-30;2017-05-07;2017-05-14;2017-05-21;2017-05-28;2017-06-04;2017-06-11;2017-06-18;2017-06-25;2017-07-02;2017-07-09;2017-07-16;2017-07-23;2017-07-30;2017-08-06;2017-08-13;2017-08-20;2017-08-27;2017-09-03;2017-09-10;2017-09-17;2017-09-24;2017-10-01;2017-10-08;2017-10-15;2017-10-22;2017-10-29;2017-11-05;2017-11-12;2017-11-19;2017-11-26;2017-12-03;2017-12-10;2017-12-17;2017-12-24;2017-12-31,None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None,0,11
2017,"MONATIK, Lida Lee, Nino Basilaya",2017-01-01;2017-01-08;2017-01-15;2017-01-22;2017-01-29;2017-02-05;2017-02-12;2017-02-19;2017-02-26;2017-03-05;2017-03-12;2017-03-19;2017-03-26;2017-04-02;2017-04-09;2017-04-16;2017-04-23;2017-04-30;2017-05-07;2017-05-14;2017-05-21;2017-05-28;2017-06-04;2017-06-11;2017-06-18;2017-06-25;2017-07-02;2017-07-09;2017-07-16;2017-07-23;2017-07-30;2017-08-06;2017-08-13;2017-08-20;2017-08-27;2017-09-03;2017-09-10;2017-09-17;2017-09-24;2017-10-01;2017-10-08;2017-10-15;2017-10-22;2017-10-29;2017-11-05;2017-11-12;2017-11-19;2017-11-26;2017-12-03;2017-12-10;2017-12-17;2017-12-24;2017-12-31,None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None,0,11
2017,StarBoi3,2017-01-01;2017-01-08;2017-01-15;2017-01-22;2017-01-29;2017-02-05;2017-02-12;2017-02-19;2017-02-26;2017-03-05;2017-03-12;2017-03-19;2017-03-26;2017-04-02;2017-04-09;2017-04-16;2017-04-23;2017-04-30;2017-05-07;2017-05-14;2017-05-21;2017-05-28;2017-06-04;2017-06-11;2017-06-18;2017-06-25;2017-07-02;2017-07-09;2017-07-16;2017-07-23;2017-07-30;2017-08-06;2017-08-13;2017-08-20;2017-08-27;2017-09-03;2017-09-10;2017-09-17;2017-09-24;2017-10-01;2017-10-08;2017-10-15;2017-10-22;2017-10-29;2017-11-05;2017-11-12;2017-11-19;2017-11-26;2017-12-03;2017-12-10;2017-12-17;2017-12-24;2017-12-31,None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None,0,11
2017,LILDRUGHILL,2017-01-01;2017-01-08;2017-01-15;2017-01-22;2017-01-29;2017-02-05;2017-02-12;2017-02-19;2017-02-26;2017-03-05;2017-03-12;2017-03-19;2017-03-26;2017-04-02;2017-04-09;2017-04-16;2017-04-23;2017-04-30;2017-05-07;2017-05-14;2017-05-21;2017-05-28;2017-06-04;2017-06-11;2017-06-18;2017-06-25;2017-07-02;2017-07-09;2017-07-16;2017-07-23;2017-07-30;2017-08-06;2017-08-13;2017-08-20;2017-08-27;2017-09-03;2017-09-10;2017-09-17;2017-09-24;2017-10-01;2017-10-08;2017-10-15;2017-10-22;2017-10-29;2017-11-05;2017-11-12;2017-11-19;2017-11-26;2017-12-03;2017-12-10;2017-12-17;2017-12-24;2017-12-31,None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None,0,11
2017,"Miyagi & Andy Panda, Mav-d",2017-01-01;2017-01-08;2017-01-15;2017-01-22;2017-01-29;2017-02-05;2017-02-12;2017-02-19;2017-02-26;2017-03-05;2017-03-12;2017-03-19;2017-03-26;2017-04-02;2017-04-09;2017-04-16;2017-04-23;2017-04-30;2017-05-07;2017-05-14;2017-05-21;2017-05-28;2017-06-04;2017-06-11;2017-06-18;2017-06-25;2017-07-02;2017-07-09;2017-07-16;2017-07-23;2017-07-30;2017-08-06;2017-08-13;2017-08-20;2017-08-27;2017-09-03;2017-09-10;2017-09-17;2017-09-24;2017-10-01;2017-10-08;2017-10-15;2017-10-22;2017-10-29;2017-11-05;2017-11-12;2017-11-19;2017-11-26;2017-12-03;2017-12-10;2017-12-17;2017-12-24;2017-12-31,None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None,0,11
2017,Frank Sinatra,2017-01-01;2017-01-08;2017-01-15;2017-01-22;2017-01-29;2017-02-05;2017-02-12;2017-02-19;2017-02-26;2017-03-05;2017-03-12;2017-03-19;2017-03-26;2017-04-02;2017-04-09;2017-04-16;2017-04-23;2017-04-30;2017-05-07;2017-05-14;2017-05-21;2017-05-28;2017-06-04;2017-06-11;2017-06-18;2017-06-25;2017-07-02;2017-07-09;2017-07-16;2017-07-23;2017-07-30;2017-08-06;2017-08-13;2017-08-20;2017-08-27;2017-09-03;2017-09-10;2017-09-17;2017-09-24;2017-10-01;2017-10-08;2017-10-15;2017-10-22;2017-10-29;2017-11-05;2017-11-12;2017-11-19;2017-11-26;2017-12-03;2017-12-10;2017-12-17;2017-12-24;2017-12-31,None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None,0,11
2017,"VACÍO, Eldzhey",2017-01-01;2017-01-08;2017-01-15;2017-01-22;2017-01-29;2017-02-05;2017-02-12;2017-02-19;2017-02-26;2017-03-05;2017-03-12;2017-03-19;2017-03-26;2017-04-02;2017-04-09;2017-04-16;2017-04-23;2017-04-30;2017-05-07;2017-05-14;2017-05-21;2017-05-28;2017-06-04;2017-06-11;2017-06-18;2017-06-25;2017-07-02;2017-07-09;2017-07-16;2017-07-23;2017-07-30;2017-08-06;2017-08-13;2017-08-20;2017-08-27;2017-09-03;2017-09-10;2017-09-17;2017-09-24;2017-10-01;2017-10-08;2017-10-15;2017-10-22;2017-10-29;2017-11-05;2017-11-12;2017-11-19;2017-11-26;2017-12-03;2017-12-10;2017-12-17;2017-12-24;2017-12-31,None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None,0,11
2017,"Платина, FEDUK",2017-01-01;2017-01-08;2017-01-15;2017-01-22;2017-01-29;2017-02-05;2017-02-12;2017-02-19;2017-02-26;2017-03-05;2017-03-12;2017-03-19;2017-03-26;2017-04-02;2017-04-09;2017-04-16;2017-04-23;2017-04-30;2017-05-07;2017-05-14;2017-05-21;2017-05-28;2017-06-04;2017-06-11;2017-06-18;2017-06-25;2017-07-02;2017-07-09;2017-07-16;2017-07-23;2017-07-30;2017-08-06;2017-08-13;2017-08-20;2017-08-27;2017-09-03;2017-09-10;2017-09-17;2017-09-24;2017-10-01;2017-10-08;2017-10-15;2017-10-22;2017-10-29;2017-11-05;2017-11-12;2017-11-19;2017-11-26;2017-12-03;2017-12-10;2017-12-17;2017-12-24;2017-12-31,None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None,0,11
2017,Raim,2017-01-01;2017-01-08;2017-01-15;2017-01-22;2017-01-29;2017-02-05;2017-02-12;2017-02-19;2017-02-26;2017-03-05;2017-03-12;2017-03-19;2017-03-26;2017-04-02;2017-04-09;2017-04-16;2017-04-23;2017-04-30;2017-05-07;2017-05-14;2017-05-21;2017-05-28;2017-06-04;2017-06-11;2017-06-18;2017-06-25;2017-07-02;2017-07-09;2017-07-16;2017-07-23;2017-07-30;2017-08-06;2017-08-13;2017-08-20;2017-08-27;2017-09-03;2017-09-10;2017-09-17;2017-09-24;2017-10-01;2017-10-08;2017-10-15;2017-10-22;2017-10-29;2017-11-05;2017-11-12;2017-11-19;2017-11-26;2017-12-03;2017-12-10;2017-12-17;2017-12-24;2017-12-31,None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None,0,11
2017,Три дня дождя,2017-01-01;2017-01-08;2017-01-15;2017-01-22;2017-01-29;2017-02-05;2017-02-12;2017-02-19;2017-02-26;2017-03-05;2017-03-12;2017-03-19;2017-03-26;2017-04-02;2017-04-09;2017-04-16;2017-04-23;2017-04-30;2017-05-07;2017-05-14;2017-05-21;2017-05-28;2017-06-04;2017-06-11;2017-06-18;2017-06-25;2017-07-02;2017-07-09;2017-07-16;2017-07-23;2017-07-30;2017-08-06;2017-08-13;2017-08-20;2017-08-27;2017-09-03;2017-09-10;2017-09-17;2017-09-24;2017-10-01;2017-10-08;2017-10-15;2017-10-22;2017-10-29;2017-11-05;2017-11-12;2017-11-19;2017-11-26;2017-12-03;2017-12-10;2017-12-17;2017-12-24;2017-12-31,None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None,0,11
2017,Giveon,2017-01-01;2017-01-08;2017-01-15;2017-01-22;2017-01-29;2017-02-05;2017-02-12;2017-02-19;2017-02-26;2017-03-05;2017-03-12;2017-03-19;2017-03-26;2017-04-02;2017-04-09;2017-04-16;2017-04-23;2017-04-30;2017-05-07;2017-05-14;2017-05-21;2017-05-28;2017-06-04;2017-06-11;2017-06-18;2017-06-25;2017-07-02;2017-07-09;2017-07-16;2017-07-23;2017-07-30;2017-08-06;2017-08-13;2017-08-20;2017-08-27;2017-09-03;2017-09-10;2017-09-17;2017-09-24;2017-10-01;2017-10-08;2017-10-15;2017-10-22;2017-10-29;2017-11-05;2017-11-12;2017-11-19;2017-11-26;2017-12-03;2017-12-10;2017-12-17;2017-12-24;2017-12-31,None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None,0,11
2017,"DOROFEEVA, Scriptonite",2017-01-01;2017-01-08;2017-01-15;2017-01-22;2017-01-29;2017-02-05;2017-02-12;2017-02-19;2017-02-26;2017-03-05;2017-03-12;2017-03-19;2017-03-26;2017-04-02;2017-04-09;2017-04-16;2017-04-23;2017-04-30;2017-05-07;2017-05-14;2017-05-21;2017-05-28;2017-06-04;2017-06-11;2017-06-18;2017-06-25;2017-07-02;2017-07-09;2017-07-16;2017-07-23;2017-07-30;2017-08-06;2017-08-13;2017-08-20;2017-08-27;2017-09-03;2017-09-10;2017-09-17;2017-09-24;2017-10-01;2017-10-08;2017-10-15;2017-10-22;2017-10-29;2017-11-05;2017-11-12;2017-11-19;2017-11-26;2017-12-03;2017-12-10;2017-12-17;2017-12-24;2017-12-31,None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None,0,11
2017,"Young Stoner Life, Young Thug, Gunna",2017-01-01;2017-01-08;2017-01-15;2017-01-22;2017-01-29;2017-02-05;2017-02-12;2017-02-19;2017-02-26;2017-03-05;2017-03-12;2017-03-19;2017-03-26;2017-04-02;2017-04-09;2017-04-16;2017-04-23;2017-04-30;2017-05-07;2017-05-14;2017-05-21;2017-05-28;2017-06-04;2017-06-11;2017-06-18;2017-06-25;2017-07-02;2017-07-09;2017-07-16;2017-07-23;2017-07-30;2017-08-06;2017-08-13;2017-08-20;2017-08-27;2017-09-03;2017-09-10;2017-09-17;2017-09-24;2017-10-01;2017-10-08;2017-10-15;2017-10-22;2017-10-29;2017-11-05;2017-11-12;2017-11-19;2017-11-26;2017-12-03;2017-12-10;2017-12-17;2017-12-24;2017-12-31,None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None,0,11
2017,"Dzharakhov, Markul",2017-01-01;2017-01-08;2017-01-15;2017-01-22;2017-01-29;2017-02-05;2017-02-12;2017-02-19;2017-02-26;2017-03-05;2017-03-12;2017-03-19;2017-03-26;2017-04-02;2017-04-09;2017-04-16;2017-04-23;2017-04-30;2017-05-07;2017-05-14;2017-05-21;2017-05-28;2017-06-04;2017-06-11;2017-06-18;2017-06-25;2017-07-02;2017-07-09;2017-07-16;2017-07-23;2017-07-30;2017-08-06;2017-08-13;2017-08-20;2017-08-27;2017-09-03;2017-09-10;2017-09-17;2017-09-24;2017-10-01;2017-10-08;2017-10-15;2017-10-22;2017-10-29;2017-11-05;2017-11-12;2017-11-19;2017-11-26;2017-12-03;2017-12-10;2017-12-17;2017-12-24;2017-12-31,None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None,0,11
2017,КАКАЯ РАЗНИЦА,2017-01-01;2017-01-08;2017-01-15;2017-01-22;2017-01-29;2017-02-05;2017-02-12;2017-02-19;2017-02-26;2017-03-05;2017-03-12;2017-03-19;2017-03-26;2017-04-02;2017-04-09;2017-04-16;2017-04-23;2017-04-30;2017-05-07;2017-05-14;2017-05-21;2017-05-28;2017-06-04;2017-06-11;2017-06-18;2017-06-25;2017-07-02;2017-07-09;2017-07-16;2017-07-23;2017-07-30;2017-08-06;2017-08-13;2017-08-20;2017-08-27;2017-09-03;2017-09-10;2017-09-17;2017-09-24;2017-10-01;2017-10-08;2017-10-15;2017-10-22;2017-10-29;2017-11-05;2017-11-12;2017-11-19;2017-11-26;2017-12-03;2017-12-10;2017-12-17;2017-12-24;2017-12-31,None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None,0,11
2017,Logan Harris,2017-01-01;2017-01-08;2017-01-15;2017-01-22;2017-01-29;2017-02-05;2017-02-12;2017-02-19;2017-02-26;2017-03-05;2017-03-12;2017-03-19;2017-03-26;2017-04-02;2017-04-09;2017-04-16;2017-04-23;2017-04-30;2017-05-07;2017-05-14;2017-05-21;2017-05-28;2017-06-04;2017-06-11;2017-06-18;2017-06-25;2017-07-02;2017-07-09;2017-07-16;2017-07-23;2017-07-30;2017-08-06;2017-08-13;2017-08-20;2017-08-27;2017-09-03;2017-09-10;2017-09-17;2017-09-24;2017-10-01;2017-10-08;2017-10-15;2017-10-22;2017-10-29;2017-11-05;2017-11-12;2017-11-19;2017-11-26;2017-12-03;2017-12-10;2017-12-17;2017-12-24;2017-12-31,None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None,0,11
2017,Lizzo,2017-01-01;2017-01-08;2017-01-15;2017-01-22;2017-01-29;2017-02-05;2017-02-12;2017-02-19;2017-02-26;2017-03-05;2017-03-12;2017-03-19;2017-03-26;2017-04-02;2017-04-09;2017-04-16;2017-04-23;2017-04-30;2017-05-07;2017-05-14;2017-05-21;2017-05-28;2017-06-04;2017-06-11;2017-06-18;2017-06-25;2017-07-02;2017-07-09;2017-07-16;2017-07-23;2017-07-30;2017-08-06;2017-08-13;2017-08-20;2017-08-27;2017-09-03;2017-09-10;2017-09-17;2017-09-24;2017-10-01;2017-10-08;2017-10-15;2017-10-22;2017-10-29;2017-11-05;2017-11-12;2017-11-19;2017-11-26;2017-12-03;2017-12-10;2017-12-17;2017-12-24;2017-12-31,None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None,0,11
2017,JojoHF,2017-01-01;2017-01-08;2017-01-15;2017-01-22;2017-01-29;2017-02-05;2017-02-12;2017-02-19;2017-02-26;2017-03-05;2017-03-12;2017-03-19;2017-03-26;2017-04-02;2017-04-09;2017-04-16;2017-04-23;2017-04-30;2017-05-07;2017-05-14;2017-05-21;2017-05-28;2017-06-04;2017-06-11;2017-06-18;2017-06-25;2017-07-02;2017-07-09;2017-07-16;2017-07-23;2017-07-30;2017-08-06;2017-08-13;2017-08-20;2017-08-27;2017-09-03;2017-09-10;2017-09-17;2017-09-24;2017-10-01;2017-10-08;2017-10-15;2017-10-22;2017-10-29;2017-11-05;2017-11-12;2017-11-19;2017-11-26;2017-12-03;2017-12-10;2017-12-17;2017-12-24;2017-12-31,None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None,0,11
2017,"Shawn Mendes, Camila Cabello",2017-01-01;2017-01-08;2017-01-15;2017-01-22;2017-01-29;2017-02-05;2017-02-12;2017-02-19;2017-02-26;2017-03-05;2017-03-12;2017-03-19;2017-03-26;2017-04-02;2017-04-09;2017-04-16;2017-04-23;2017-04-30;2017-05-07;2017-05-14;2017-05-21;2017-05-28;2017-06-04;2017-06-11;2017-06-18;2017-06-25;2017-07-02;2017-07-09;2017-07-16;2017-07-23;2017-07-30;2017-08-06;2017-08-13;2017-08-20;2017-08-27;2017-09-03;2017-09-10;2017-09-17;2017-09-24;2017-10-01;2017-10-08;2017-10-15;2017-10-22;2017-10-29;2017-11-05;2017-11-12;2017-11-19;2017-11-26;2017-12-03;2017-12-10;2017-12-17;2017-12-24;2017-12-31,None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None,0,11
2017,"Joji, Diplo",2017-01-01;2017-01-08;2017-01-15;2017-01-22;2017-01-29;2017-02-05;2017-02-12;2017-02-19;2017-02-26;2017-03-05;2017-03-12;2017-03-19;2017-03-26;2017-04-02;2017-04-09;2017-04-16;2017-04-23;2017-04-30;2017-05-07;2017-05-14;2017-05-21;2017-05-28;2017-06-04;2017-06-11;2017-06-18;2017-06-25;2017-07-02;2017-07-09;2017-07-16;2017-07-23;2017-07-30;2017-08-06;2017-08-13;2017-08-20;2017-08-27;2017-09-03;2017-09-10;2017-09-17;2017-09-24;2017-10-01;2017-10-08;2017-10-15;2017-10-22;2017-10-29;2017-11-05;2017-11-12;2017-11-19;2017-11-26;2017-12-03;2017-12-10;2017-12-17;2017-12-24;2017-12-31,None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None,0,11
2017,Blind Channel,2017-01-01;2017-01-08;2017-01-15;2017-01-22;2017-01-29;2017-02-05;2017-02-12;2017-02-19;2017-02-26;2017-03-05;2017-03-12;2017-03-19;2017-03-26;2017-04-02;2017-04-09;2017-04-16;2017-04-23;2017-04-30;2017-05-07;2017-05-14;2017-05-21;2017-05-28;2017-06-04;2017-06-11;2017-06-18;2017-06-25;2017-07-02;2017-07-09;2017-07-16;2017-07-23;2017-07-30;2017-08-06;2017-08-13;2017-08-20;2017-08-27;2017-09-03;2017-09-10;2017-09-17;2017-09-24;2017-10-01;2017-10-08;2017-10-15;2017-10-22;2017-10-29;2017-11-05;2017-11-12;2017-11-19;2017-11-26;2017-12-03;2017-12-10;2017-12-17;2017-12-24;2017-12-31,None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None,0,11
